Timestamp,GridVoltage,TotalWatts,HotWaterLiters,TankTempC,IndoorTempC,ActiveDevices,ActiveActors
2026-01-01T00:00:15Z,234.41,187.48,0.00,55.00,17.99,fridge_1,house_system:fridge_compressor
2026-01-01T00:00:30Z,234.38,2264.33,0.00,55.00,17.99,fridge_1 | central_heating,house_system:thermostat_heat
2026-01-01T00:00:45Z,233.29,2243.27,0.00,54.99,17.99,fridge_1 | central_heating,
2026-01-01T00:01:00Z,233.64,2250.07,0.00,54.99,18.00,fridge_1 | central_heating,
2026-01-01T00:01:15Z,234.64,2269.29,0.00,54.99,18.00,fridge_1 | central_heating,
2026-01-01T00:01:30Z,235.80,2291.78,0.00,54.99,18.00,fridge_1 | central_heating,
2026-01-01T00:01:45Z,236.17,2299.10,0.00,54.99,18.00,fridge_1 | central_heating,
2026-01-01T00:02:00Z,233.57,2248.63,0.00,54.98,18.00,fridge_1 | central_heating,
2026-01-01T00:02:15Z,236.32,2301.91,0.00,54.98,18.00,fridge_1 | central_heating,
2026-01-01T00:02:30Z,232.88,2235.46,0.00,54.98,18.00,fridge_1 | central_heating,
2026-01-01T00:02:45Z,232.72,2232.47,0.00,54.98,18.00,fridge_1 | central_heating,
2026-01-01T00:03:00Z,233.55,2248.27,0.00,54.98,18.01,fridge_1 | central_heating,
2026-01-01T00:03:15Z,234.89,2274.20,0.00,54.97,18.01,fridge_1 | central_heating,
2026-01-01T00:03:30Z,233.25,2242.48,0.00,54.97,18.01,fridge_1 | central_heating,
2026-01-01T00:03:45Z,235.40,2284.14,0.00,54.97,18.01,fridge_1 | central_heating,
2026-01-01T00:04:00Z,236.38,2303.13,0.00,54.97,18.01,fridge_1 | central_heating,
2026-01-01T00:04:15Z,233.32,2243.94,0.00,54.97,18.01,fridge_1 | central_heating,
2026-01-01T00:04:30Z,233.76,2252.35,0.00,54.96,18.01,fridge_1 | central_heating,
2026-01-01T00:04:45Z,235.27,2281.56,0.00,54.96,18.01,fridge_1 | central_heating,
2026-01-01T00:05:00Z,233.63,2249.92,0.00,54.96,18.01,fridge_1 | central_heating,
2026-01-01T00:05:15Z,234.07,2258.43,0.00,54.96,18.02,fridge_1 | central_heating,
