Timestamp,GridVoltage,TotalWatts,HotWaterLiters,TankTempC,IndoorTempC,ActiveDevices,ActiveActors
2026-01-01T00:00:15Z,232.02,12.21,0.00,55.00,14.99,,
2026-01-01T00:00:30Z,232.32,12.24,0.00,55.00,14.98,,
2026-01-01T00:00:45Z,231.05,12.11,0.00,54.99,14.97,,
2026-01-01T00:01:00Z,231.16,12.12,0.00,54.99,14.96,,
2026-01-01T00:01:15Z,232.66,12.28,0.00,54.99,14.95,,
2026-01-01T00:01:30Z,231.58,12.17,0.00,54.99,14.94,,
2026-01-01T00:01:45Z,232.63,12.28,0.00,54.99,14.93,,
2026-01-01T00:02:00Z,232.10,12.22,0.00,54.98,14.93,,
2026-01-01T00:02:15Z,232.95,12.31,0.00,54.98,14.92,,
2026-01-01T00:02:30Z,232.03,12.21,0.00,54.98,14.91,,
2026-01-01T00:02:45Z,231.18,12.12,0.00,54.98,14.90,,
2026-01-01T00:03:00Z,232.46,12.26,0.00,54.98,14.89,,
2026-01-01T00:03:15Z,231.12,12.12,0.00,54.97,14.88,,
2026-01-01T00:03:30Z,232.71,12.28,0.00,54.97,14.87,,
2026-01-01T00:03:45Z,231.34,12.14,0.00,54.97,14.86,,
2026-01-01T00:04:00Z,232.14,12.22,0.00,54.97,14.85,,
2026-01-01T00:04:15Z,231.48,12.16,0.00,54.97,14.84,,
2026-01-01T00:04:30Z,232.98,12.31,0.00,54.96,14.83,,
2026-01-01T00:04:45Z,231.16,12.12,0.00,54.96,14.82,,
2026-01-01T00:05:00Z,232.90,12.30,0.00,54.96,14.81,,
2026-01-01T00:05:15Z,231.81,12.19,0.00,54.96,14.80,,
2026-01-01T00:05:30Z,232.03,12.21,0.00,54.96,14.80,,
2026-01-01T00:05:45Z,232.02,12.21,0.00,54.95,14.79,,
2026-01-01T00:06:00Z,231.48,12.15,0.00,54.95,14.78,,
2026-01-01T00:06:15Z,231.65,12.17,0.00,54.95,14.77,,
2026-01-01T00:06:30Z,232.15,12.23,0.00,54.95,14.76,,
2026-01-01T00:06:45Z,232.73,12.29,0.00,54.95,14.75,,
2026-01-01T00:07:00Z,232.92,12.31,0.00,54.94,14.74,,
2026-01-01T00:07:15Z,231.62,12.17,0.00,54.94,14.73,,
2026-01-01T00:07:30Z,233.00,12.32,0.00,54.94,14.72,,
2026-01-01T00:07:45Z,231.28,12.13,0.00,54.94,14.71,,
2026-01-01T00:08:00Z,231.21,12.13,0.00,54.94,14.70,,
2026-01-01T00:08:15Z,231.62,12.17,0.00,54.93,14.69,,
2026-01-01T00:08:30Z,232.29,12.24,0.00,54.93,14.68,,
2026-01-01T00:08:45Z,231.47,12.15,0.00,54.93,14.68,,
2026-01-01T00:09:00Z,232.55,12.27,0.00,54.93,14.67,,
2026-01-01T00:09:15Z,233.04,12.32,0.00,54.93,14.66,,
2026-01-01T00:09:30Z,231.51,12.16,0.00,54.92,14.65,,
2026-01-01T00:09:45Z,231.73,12.18,0.00,54.92,14.64,,
2026-01-01T00:10:00Z,232.49,12.26,0.00,54.92,14.63,,
2026-01-01T00:10:15Z,231.67,12.18,0.00,54.92,14.62,,
2026-01-01T00:10:30Z,231.89,12.20,0.00,54.92,14.61,,
2026-01-01T00:10:45Z,232.72,12.29,0.00,54.91,14.60,,
2026-01-01T00:11:00Z,232.15,12.23,0.00,54.91,14.59,,
2026-01-01T00:11:15Z,233.12,12.33,0.00,54.91,14.58,,
