Timestamp,GridVoltage,TotalWatts,HotWaterLiters,TankTempC,IndoorTempC,ActiveDevices,ActiveActors
2026-01-01T00:00:15Z,235.45,173.43,0.00,55.00,17.99,fridge_1,house_system:fridge_compressor
2026-01-01T00:00:30Z,237.85,177.00,0.00,55.00,17.99,fridge_1,
2026-01-01T00:00:45Z,239.44,179.36,0.00,54.99,17.98,fridge_1,
2026-01-01T00:01:00Z,233.83,171.06,0.00,54.99,17.97,fridge_1,
2026-01-01T00:01:15Z,238.66,178.19,0.00,54.99,17.96,fridge_1,
2026-01-01T00:01:30Z,233.46,170.51,0.00,54.99,17.96,fridge_1,
2026-01-01T00:01:45Z,239.47,179.41,0.00,54.99,17.95,fridge_1,
2026-01-01T00:02:00Z,238.18,177.48,0.00,54.98,17.94,fridge_1,
2026-01-01T00:02:15Z,236.04,174.31,0.00,54.98,17.93,fridge_1,
2026-01-01T00:02:30Z,239.07,178.81,0.00,54.98,17.93,fridge_1,
2026-01-01T00:02:45Z,236.35,174.77,0.00,54.98,17.92,fridge_1,
2026-01-01T00:03:00Z,237.39,176.31,0.00,54.98,17.91,fridge_1,
2026-01-01T00:03:15Z,232.93,169.74,0.00,54.97,17.90,fridge_1,
2026-01-01T00:03:30Z,233.31,170.29,0.00,54.97,17.90,fridge_1,
2026-01-01T00:03:45Z,238.55,178.03,0.00,54.97,17.89,fridge_1,
2026-01-01T00:04:00Z,234.78,172.45,0.00,54.97,17.88,fridge_1,
2026-01-01T00:04:15Z,238.42,177.84,0.00,54.97,17.87,fridge_1,
2026-01-01T00:04:30Z,236.58,175.10,0.00,54.96,17.87,fridge_1,
2026-01-01T00:04:45Z,239.52,179.49,0.00,54.96,17.86,fridge_1,
2026-01-01T00:05:00Z,236.31,174.71,0.00,54.96,17.85,fridge_1,
2026-01-01T00:05:15Z,233.31,170.29,0.00,54.96,17.84,fridge_1,
2026-01-01T00:05:30Z,237.81,176.93,0.00,54.96,17.84,fridge_1,
2026-01-01T00:05:45Z,233.10,170.00,0.00,54.95,17.83,fridge_1,
2026-01-01T00:06:00Z,238.64,178.17,0.00,54.95,17.82,fridge_1,
2026-01-01T00:06:15Z,233.85,171.09,0.00,54.95,17.81,fridge_1,
2026-01-01T00:06:30Z,236.64,175.19,0.00,54.95,17.81,fridge_1,
2026-01-01T00:06:45Z,234.33,171.79,0.00,54.95,17.80,fridge_1,
2026-01-01T00:07:00Z,239.55,179.53,0.00,54.94,17.79,fridge_1,
2026-01-01T00:07:15Z,233.17,170.09,0.00,54.94,17.78,fridge_1,
2026-01-01T00:07:30Z,239.26,179.09,0.00,54.94,17.78,fridge_1,
2026-01-01T00:07:45Z,235.45,173.43,0.00,54.94,17.77,fridge_1,
2026-01-01T00:08:00Z,236.22,174.57,0.00,54.94,17.76,fridge_1,
2026-01-01T00:08:15Z,236.16,174.49,0.00,54.93,17.75,fridge_1,
2026-01-01T00:08:30Z,234.25,171.67,0.00,54.93,17.75,fridge_1,
2026-01-01T00:08:45Z,234.86,172.57,0.00,54.93,17.74,fridge_1,
2026-01-01T00:09:00Z,236.60,175.14,0.00,54.93,17.73,fridge_1,
2026-01-01T00:09:15Z,238.63,178.15,0.00,54.93,17.72,fridge_1,
2026-01-01T00:09:30Z,239.28,179.13,0.00,54.92,17.72,fridge_1,
2026-01-01T00:09:45Z,234.72,172.36,0.00,54.92,17.71,fridge_1,
2026-01-01T00:10:00Z,239.53,179.50,0.00,54.92,17.70,fridge_1,
2026-01-01T00:10:15Z,233.51,170.59,0.00,54.92,17.70,fridge_1,
2026-01-01T00:10:30Z,233.24,170.19,0.00,54.92,17.69,fridge_1,
2026-01-01T00:10:45Z,234.67,172.29,0.00,54.91,17.68,fridge_1,
2026-01-01T00:11:00Z,237.02,175.75,0.00,54.91,17.67,fridge_1,
2026-01-01T00:11:15Z,234.14,171.51,0.00,54.91,17.67,fridge_1,
2026-01-01T00:11:30Z,237.91,177.07,0.00,54.91,17.66,fridge_1,
2026-01-01T00:11:45Z,239.61,179.62,0.00,54.91,17.65,fridge_1,
2026-01-01T00:12:00Z,234.26,171.68,0.00,54.90,17.64,fridge_1,
2026-01-01T00:12:15Z,235.02,172.80,0.00,54.90,17.64,fridge_1,
2026-01-01T00:12:30Z,237.66,176.70,0.00,54.90,17.63,fridge_1,
2026-01-01T00:12:45Z,234.79,172.47,0.00,54.90,17.62,fridge_1,
2026-01-01T00:13:00Z,235.56,173.60,0.00,54.90,17.61,fridge_1,
2026-01-01T00:13:15Z,238.45,177.89,0.00,54.89,17.61,fridge_1,
2026-01-01T00:13:30Z,236.45,174.91,0.00,54.89,17.60,fridge_1,
2026-01-01T00:13:45Z,239.82,179.93,0.00,54.89,17.59,fridge_1,
2026-01-01T00:14:00Z,236.21,174.56,0.00,54.89,17.58,fridge_1,
2026-01-01T00:14:15Z,238.40,177.80,0.00,54.89,17.58,fridge_1,
2026-01-01T00:14:30Z,237.73,176.81,0.00,54.88,17.57,fridge_1,
2026-01-01T00:14:45Z,235.02,172.81,0.00,54.88,17.56,fridge_1,
2026-01-01T00:15:00Z,237.61,176.63,0.00,54.88,17.56,fridge_1,
2026-01-01T00:15:15Z,234.42,31.68,0.00,54.88,17.55,,
2026-01-01T00:15:30Z,239.11,32.96,0.00,54.88,17.54,,
2026-01-01T00:15:45Z,233.14,31.34,0.00,54.87,17.53,,
