Timestamp,ActiveDevices,ActiveActors,Anomalies,Debug
00:00:15,,,,"[stressed_worker] Meters(hygiene:90.0, leisure:79.9, work_duty:100.0, energy:30.0, hunger:96.0, ) | Roulette Chose: sleep_in_bed | Max Was: 45.2"
00:00:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:30.0, hunger:95.9, hygiene:90.0, leisure:79.9, work_duty:100.0, "
00:00:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:79.9, work_duty:99.9, energy:29.9, hunger:95.9, hygiene:89.9, "
00:01:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.9, hunger:95.9, hygiene:89.9, leisure:79.8, work_duty:99.9, "
00:01:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.9, hunger:95.8, hygiene:89.9, leisure:79.8, work_duty:99.9, "
00:01:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:79.8, work_duty:99.9, energy:29.9, hunger:95.8, hygiene:89.9, "
00:01:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:99.9, energy:29.8, hunger:95.7, hygiene:89.9, leisure:79.8, "
00:02:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:99.9, energy:29.8, hunger:95.7, hygiene:89.8, leisure:79.7, "
00:02:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:79.7, work_duty:99.8, energy:29.8, hunger:95.7, hygiene:89.8, "
00:02:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:95.6, hygiene:89.8, leisure:79.7, work_duty:99.8, energy:29.8, "
00:02:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:95.6, hygiene:89.8, leisure:79.7, work_duty:99.8, energy:29.7, "
00:03:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:79.6, work_duty:99.8, energy:29.7, hunger:95.6, hygiene:89.8, "
