Timestamp,ActiveDevices,ActiveActors,Anomalies,Debug
00:00:15,,single_person:sleep_in_bed,,"[] Meters(E:10.0, Hyg:70.0, Hng:80.0, Work:100.0) | Roulette Chose: sleep_in_bed(180.4) | Max Was: sleep_in_bed(180.4)"
00:00:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.0, Hyg:69.9, Hng:79.9, Work:99.9) | Busy: sleep_in_bed(185.3)"
00:00:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.1, Hyg:69.9, Hng:79.9, Work:99.9) | Busy: sleep_in_bed(185.3)"
00:01:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.1, Hyg:69.8, Hng:79.8, Work:99.8) | Busy: sleep_in_bed(185.2)"
00:01:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.2, Hyg:69.8, Hng:79.8, Work:99.8) | Busy: sleep_in_bed(185.2)"
00:01:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.2, Hyg:69.7, Hng:79.7, Work:99.7) | Busy: sleep_in_bed(185.1)"
00:01:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.3, Hyg:69.7, Hng:79.7, Work:99.7) | Busy: sleep_in_bed(185.1)"
00:02:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.3, Hyg:69.7, Hng:79.6, Work:99.6) | Busy: sleep_in_bed(185.1)"
00:02:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.4, Hyg:69.6, Hng:79.6, Work:99.6) | Busy: sleep_in_bed(185.0)"
00:02:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.5, Hyg:69.6, Hng:79.5, Work:99.5) | Busy: sleep_in_bed(185.0)"
00:02:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.5, Hyg:69.5, Hng:79.5, Work:99.5) | Busy: sleep_in_bed(184.9)"
00:03:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.6, Hyg:69.5, Hng:79.4, Work:99.4) | Busy: sleep_in_bed(184.9)"
00:03:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.6, Hyg:69.5, Hng:79.4, Work:99.4) | Busy: sleep_in_bed(184.8)"
00:03:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.7, Hyg:69.4, Hng:79.3, Work:99.3) | Busy: sleep_in_bed(184.8)"
00:03:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.7, Hyg:69.4, Hng:79.3, Work:99.3) | Busy: sleep_in_bed(184.7)"
00:04:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.8, Hyg:69.3, Hng:79.2, Work:99.2) | Busy: sleep_in_bed(184.7)"
00:04:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.8, Hyg:69.3, Hng:79.2, Work:99.2) | Busy: sleep_in_bed(184.7)"
00:04:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.9, Hyg:69.2, Hng:79.1, Work:99.1) | Busy: sleep_in_bed(184.6)"
00:04:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:10.9, Hyg:69.2, Hng:79.1, Work:99.1) | Busy: sleep_in_bed(184.6)"
00:05:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.0, Hyg:69.2, Hng:79.0, Work:99.0) | Busy: sleep_in_bed(184.5)"
00:05:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.0, Hyg:69.1, Hng:79.0, Work:99.0) | Busy: sleep_in_bed(184.5)"
00:05:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.1, Hyg:69.1, Hng:78.9, Work:98.9) | Busy: sleep_in_bed(184.4)"
00:05:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.1, Hyg:69.0, Hng:78.9, Work:98.9) | Busy: sleep_in_bed(184.4)"
00:06:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.2, Hyg:69.0, Hng:78.8, Work:98.8) | Busy: sleep_in_bed(184.3)"
00:06:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.2, Hyg:69.0, Hng:78.8, Work:98.8) | Busy: sleep_in_bed(184.3)"
00:06:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.3, Hyg:68.9, Hng:78.7, Work:98.7) | Busy: sleep_in_bed(184.2)"
00:06:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.4, Hyg:68.9, Hng:78.7, Work:98.7) | Busy: sleep_in_bed(184.2)"
00:07:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.4, Hyg:68.8, Hng:78.6, Work:98.6) | Busy: sleep_in_bed(184.2)"
00:07:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.5, Hyg:68.8, Hng:78.6, Work:98.6) | Busy: sleep_in_bed(184.1)"
00:07:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.5, Hyg:68.7, Hng:78.5, Work:98.5) | Busy: sleep_in_bed(184.1)"
00:07:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.6, Hyg:68.7, Hng:78.5, Work:98.5) | Busy: sleep_in_bed(184.0)"
00:08:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.6, Hyg:68.7, Hng:78.4, Work:98.4) | Busy: sleep_in_bed(184.0)"
00:08:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.7, Hyg:68.6, Hng:78.4, Work:98.4) | Busy: sleep_in_bed(183.9)"
00:08:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.7, Hyg:68.6, Hng:78.3, Work:98.3) | Busy: sleep_in_bed(183.9)"
00:08:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.8, Hyg:68.5, Hng:78.3, Work:98.3) | Busy: sleep_in_bed(183.8)"
00:09:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.8, Hyg:68.5, Hng:78.2, Work:98.2) | Busy: sleep_in_bed(183.8)"
00:09:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.9, Hyg:68.5, Hng:78.2, Work:98.2) | Busy: sleep_in_bed(183.8)"
00:09:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:11.9, Hyg:68.4, Hng:78.1, Work:98.1) | Busy: sleep_in_bed(183.7)"
00:09:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.0, Hyg:68.4, Hng:78.1, Work:98.1) | Busy: sleep_in_bed(183.7)"
00:10:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.0, Hyg:68.3, Hng:78.0, Work:98.0) | Busy: sleep_in_bed(183.6)"
00:10:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.1, Hyg:68.3, Hng:78.0, Work:98.0) | Busy: sleep_in_bed(183.6)"
00:10:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.2, Hyg:68.2, Hng:77.9, Work:97.9) | Busy: sleep_in_bed(183.5)"
00:10:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.2, Hyg:68.2, Hng:77.9, Work:97.9) | Busy: sleep_in_bed(183.5)"
00:11:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.3, Hyg:68.2, Hng:77.8, Work:97.8) | Busy: sleep_in_bed(183.4)"
00:11:15,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.3, Hyg:68.1, Hng:77.8, Work:97.8) | Busy: sleep_in_bed(183.4)"
00:11:30,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.4, Hyg:68.1, Hng:77.7, Work:97.7) | Busy: sleep_in_bed(183.3)"
00:11:45,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.4, Hyg:68.0, Hng:77.7, Work:97.7) | Busy: sleep_in_bed(183.3)"
00:12:00,,single_person:sleep_in_bed,,"[sleep_in_bed] Meters(E:12.5, Hyg:68.0, Hng:77.6, Work:97.6) | Busy: sleep_in_bed(183.3)"
